student_id,attendance_rate,avg_quiz_score,meals_program,at_risk
STU0001,0.799,82.2,no,no
STU0002,0.9123,100.0,no,no
STU0003,0.7763,95.8,yes,no
STU0004,0.9979,100.0,no,no
STU0005,0.8298,91.9,no,no
STU0006,0.8912,100.0,no,no
STU0007,0.7332,78.1,no,no
STU0008,0.7817,99.7,yes,no
STU0009,0.8612,74.8,no,no
STU0010,0.7478,95.2,no,no
STU0011,0.6809,73.0,no,yes
STU0012,1.0,98.0,yes,no
STU0013,0.9832,100.0,no,no
STU0014,0.8281,70.7,yes,no
STU0015,1.0,93.1,no,no
STU0016,,100.0,no,no
STU0017,0.8242,100.0,no,no
STU0018,0.731,56.2,yes,yes
STU0019,0.645,78.4,no,yes
STU0020,0.9498,81.3,no,no
STU0021,0.739,84.0,yes,yes
STU0022,0.9973,82.3,yes,no
STU0023,0.5474,68.2,yes,yes
STU0024,0.9639,100.0,no,no
STU0025,0.6638,70.3,yes,yes
STU0026,0.8773,82.7,no,yes
STU0027,0.7175,71.4,yes,yes
STU0028,0.905,100.0,no,no
STU0029,0.5645,74.8,yes,no
STU0030,0.8599,100.0,no,no
STU0031,0.7267,81.2,no,no
STU0032,0.7748,90.8,no,no
STU0033,0.6948,81.5,yes,no
STU0034,0.7731,81.4,no,yes
STU0035,0.8783,100.0,no,no
STU0036,0.7076,59.4,no,no
STU0037,1.0,89.4,no,no
STU0038,1.0,99.9,no,no
STU0039,0.611,75.2,yes,no
STU0040,0.7802,78.0,yes,no
STU0041,0.8598,93.2,no,no
STU0042,0.8742,92.6,no,no
STU0043,,79.7,yes,yes
STU0044,0.7992,71.9,yes,no
STU0045,1.0,100.0,no,no
STU0046,0.7065,68.4,no,no
STU0047,0.6627,82.7,yes,no
STU0048,0.7802,81.6,no,no
STU0049,0.9805,100.0,no,no
STU0050,0.8845,71.5,yes,no
STU0051,0.6422,76.9,no,yes
STU0052,0.924,82.7,no,no
STU0053,0.8273,61.9,yes,no
STU0054,0.7378,80.8,no,no
STU0055,0.6763,77.3,yes,no
STU0056,0.8345,88.9,no,no
STU0057,0.9551,83.4,no,no
STU0058,0.7542,98.5,no,no
STU0059,0.878,85.5,no,yes
STU0060,0.6632,71.8,no,no
STU0061,0.4332,69.3,yes,no
STU0062,0.8722,68.7,no,yes
STU0063,0.627,57.0,no,yes
STU0064,0.8128,98.9,yes,no
STU0065,,86.8,no,yes
STU0066,0.7479,76.3,no,no
STU0067,0.9242,80.9,yes,no
STU0068,0.718,82.7,yes,no
STU0069,0.8479,83.1,yes,yes
STU0070,0.7835,91.9,yes,no
STU0071,0.681,87.8,no,no
STU0072,0.8305,84.1,no,no
STU0073,0.717,78.3,no,no
STU0074,0.6533,67.3,no,yes
STU0075,,74.8,yes,yes
STU0076,0.5987,69.7,yes,yes
STU0077,0.6269,58.4,yes,yes
STU0078,0.7979,83.7,no,yes
STU0079,0.885,67.8,no,no
